badge,clean address,clean up,conf dt,ent due,ent ovp,entity,fine,hold ct,iss dt,iss time,last seiz,lat,location,long,meter,multno,nix dt,seiz dt,seiz stat,termdt,ticket,viol
8,,meter,2017130,$180.00,$0.00,3356172,$25.00,6,2013352,1031,0,39.965206,FRONT ST N,-83.00292,NI208,0,0,0,,0,5562497492,29
14,,meter,2017333,$0.00,$0.00,3357089,$45.00,0,2013355,1257,0,39.961178,GAY ST E,-82.998795,EP309,0,0,0,,0,5562462444,72
9,,meter,2017235,$0.00,$0.00,3245862,$25.00,0,2013249,1442,0,39.976795,PARK ST,-83.005165,K415,0,0,0,,0,5562088460,29
10,,meter,2017305,$0.00,$0.00,3331608,$25.00,0,2013250,1157,0,40.002014,17TH AVE E,-83.00723,UE404,0,0,0,,0,5562144891,29
15,,meter,2017109,$0.00,$0.00,3336577,$25.00,0,2013269,826,2017214,39.960182,TOWN ST E,-82.98739,EI541,0,0,2017214,,0,5562154260,29
18,,meter,2014202,$0.00,$0.00,3354838,$50.00,0,2013346,1649,2014192,39.95448,MOUND ST W,-83.001465,WC109,100000001,0,2014193,,0,5562548721,14
19,,meter,2013289,$0.00,$0.00,3336858,$25.00,0,2013270,2123,0,39.98015,1ST AVE W,-83.0047,K736,0,0,0,,0,5562262583,29
19,,meter,2017277,$0.00,$0.00,3346756,$25.00,0,2013310,2035,0,39.975494,RUSSELL ST W,-83.00407,K214,0,0,0,,0,5562433501,29
7,,meter,2017088,$0.00,$0.00,3268140,$45.00,0,2013114,1008,0,39.96924,NATIONWIDE BLVD E,-82.999374,EX32,0,0,0,,0,5561585672,72
6,,meter,2017186,$0.00,$0.00,3205540,$25.00,0,2013169,1456,2017257,39.995342,HIGH ST N,-83.00701,UE628,0,0,2017257,,0,5561789560,29
18,,meter,2013345,$0.00,$0.00,3155706,$25.00,0,2013320,1826,0,39.99534,11TH AVE W,-83.00776,UW104,0,0,0,,0,5562430550,29
16,,meter,2017326,$0.00,$0.00,3317790,$45.00,0,2013193,1331,2018056,39.97823,HIGH ST N,-83.003876,K629,0,0,2018056,,0,5561866921,72
10,,meter,2017263,$0.00,$0.00,3319293,$25.00,0,2013201,1012,0,39.99994,15TH AVE E,-83.006874,UE307,0,0,0,,0,5561973483,29
2,,meter,2017207,$0.00,$0.00,3307285,$25.00,0,2013219,1131,0,39.97449,POPLAR AVE W,-83.00404,K156,0,0,0,,0,5561964486,29
12,,meter,2017165,$85.00,$0.00,2788194,$45.00,1,2013248,1311,0,39.95373,FULTON ST E,-82.99726,EA18,0,0,0,,0,5562046250,72
14,,meter,2018088,$130.00,$0.00,3263762,$25.00,1,2013032,1313,0,39.963737,GAY ST E,-83.00045,EP8,0,2018087,0,,0,5561256086,29
6,,meter,2017347,$85.00,$0.00,3351807,$25.00,1,2013330,1401,0,39.99445,HIGH ST N,-83.00709,UW607,0,0,0,,0,5562415942,29
8,,meter,0,$0.00,$0.00,3278065,$25.00,0,2013052,1338,0,39.966072,SPRING ST W,-83.003815,WT110,0,0,0,,0,5561231170,29
15,,meter,2017277,$0.00,$0.00,3401322,$25.00,0,2013310,1445,0,39.964737,PEARL ST N,-83.00016,NL156,0,0,0,,0,5562303780,29
7,,meter,2017256,$0.00,$0.00,3163235,$25.00,0,2013162,1344,0,39.965603,PEARL ST N,-83.00033,NL212,0,0,0,,0,5561793104,29
15,,meter,2018073,$230.00,$0.00,3045419,$25.00,2,2013078,1322,0,39.952553,W LIVINGSTON,-82.99923,B5,0,0,0,,0,5561375720,29
18,,meter,2017298,$85.00,$0.00,3347999,$25.00,1,2013323,2132,2017032,39.95219,FRONT ST S,-83.00042,B510,0,0,2017032,,0,5562431600,29
16,,meter,2015252,$165.00,$0.00,3292701,$45.00,0,2013130,1050,0,39.953625,FULTON ST E,-82.99823,EA8,0,2015225,0,,0,5561672586,72
9,,meter,0,$0.00,$0.00,3203194,$45.00,0,2013354,1358,0,39.962776,MARCONI BLVD,-83.00423,NG4,0,0,0,,0,5562467274,72
9,,meter,2018015,$65.00,$0.00,3289540,$45.00,1,2013142,1134,0,39.952316,BREWERS ST E,-82.99813,B59,0,2018012,0,,0,5561537523,72
12,,meter,2017291,$0.00,$0.00,2562902,$25.00,0,2013275,1032,2017176,39.9714,MCCOY ST,-82.9909,EZ520,0,2016005,2017176,,0,5562138661,29
9,,meter,2015091,$0.00,$0.00,3299915,$25.00,0,2013109,941,0,39.95477,MOUND ST E,-82.99879,EC3,0,0,0,,0,5561501753,29
9,,meter,2013247,$60.00,$0.00,3324479,$25.00,0,2013225,1354,0,39.96342,BROAD ST E,-82.989105,EN533,0,0,0,,0,5561963731,29
14,,meter,2015182,$90.00,$0.00,3355296,$25.00,1,2013348,1459,2015310,39.96311,LAZELLE ST N,-82.99725,NN9,0,0,2015312,,0,5562461162,29
20,,meter,2018009,$280.00,$0.00,3292221,$45.00,0,2013077,1657,0,39.963993,GAY ST E,-82.99692,EP159,0,0,0,,0,5561460906,72
20,,meter,2018009,$280.00,$0.00,3292221,$45.00,0,2013112,1645,0,39.963715,GAY ST E,-83.00062,EP4,0,0,0,,0,5561547496,72
19,,meter,2016356,$85.00,$0.00,3030876,$25.00,3,2013005,2102,0,39.986282,GREENWOOD LOT,-83.00559,F33,0,0,0,,0,5561188551,29
7,,meter,2016356,$0.00,$0.00,3352071,$45.00,0,2013331,1040,0,39.951584,HIGH ST S,-82.998474,B614,0,0,0,,0,5562481215,72
20,,meter,2015065,$60.00,$0.00,3336254,$25.00,0,2013268,1835,0,40.003098,EIGHTEENTH AVE E,-83.00818,UE457,0,2015043,0,,0,5562194064,29
2,,meter,0,$0.00,$0.00,2729186,$45.00,0,2013211,1315,0,39.950527,FRONT ST S,-83.00009,B546,0,0,0,,0,5561846971,72
7,,meter,2017312,$0.00,$0.00,3173465,$25.00,0,2013215,1325,0,39.957943,RICH ST E,-82.99635,EG112,0,0,0,,0,5562016500,29
16,,meter,2014260,$0.00,$0.00,3315917,$45.00,0,2013189,921,0,39.95264,LIVINGSTON AVE W,-83.00019,B17,0,0,0,,0,5561865510,72
6,,meter,0,$0.00,$0.00,3278065,$25.00,0,2013051,1307,0,39.995335,11TH AVE W,-83.00765,UW100,0,0,0,,0,5561312495,29
16,,meter,2014083,$60.00,$0.00,3341465,$25.00,0,2013290,1116,0,39.97609,PEARL ST N,-83.00256,K1157,0,2014028,0,,0,5562238831,29
15,,meter,2015056,$150.00,$0.00,3303924,$45.00,2,2013127,1353,0,39.95329,FULTON ST W,-82.99994,WA39,0,0,0,,0,5561603205,72
17,,meter,2017249,"$1,170.00",$0.00,3325040,$25.00,9,2013227,2120,0,39.974228,HIGH ST N,-83.00285,K486,0,0,0,,0,5562042842,29
8,,meter,2013254,$0.00,$0.00,3309029,$25.00,0,2013205,930,2013183,39.955635,NOBLE ST E,-82.997574,ED115,0,0,2013204,,0,5561879650,29
19,,meter,0,$0.00,$0.00,2729186,$45.00,0,2013059,2101,0,39.97706,PARK ST,-83.00501,K452,0,0,0,,0,5561397593,72
9,,meter,2017256,$0.00,$0.00,3308633,$20.00,0,2013360,1142,0,39.961178,SPRUCE ST W,-82.998795,WBB3,0,0,0,,0,5562467856,20
16,,meter,2017347,$0.00,$0.00,2327558,$25.00,0,2013344,1341,0,39.95926,TOWN ST E,-82.99684,EI112,0,0,0,,0,5562407962,29
19,,meter,0,$0.00,$0.00,3316251,$45.00,0,2013186,2039,2017342,39.980225,HIGH ST N,-83.00428,K701,0,0,2017342,,0,5561940771,72
20,,meter,2017354,$60.00,$0.00,3341938,$25.00,0,2013291,2141,0,39.973736,GOODALE ST W,-83.0062,K36,0,2017353,0,,0,5562329046,29
13,,meter,0,$0.00,$0.00,2729186,$40.00,0,2013059,1826,0,39.97706,PARK ST,-83.00501,K452,0,0,0,,0,5561342525,26
19,,meter,0,$0.00,$0.00,3039166,$25.00,0,2013109,1629,2018022,39.969254,NATIONWIDE BLVD E,-82.99947,EX30,0,0,2018024,,0,5561607184,29
10,,meter,2013226,$510.00,$0.00,3308708,$45.00,6,2013206,1506,0,40.003098,EIGHTEENTH AVE E,-83.008255,UE453,0,0,0,,0,5561975631,72
13,,meter,2017256,$0.00,$0.00,3353244,$25.00,0,2013338,2021,0,39.997917,THIRTEENTH AVE E,-83.00699,UE222,0,0,0,,0,5562515574,29
14,,meter,2015042,$0.00,$0.00,3016326,$45.00,0,2013354,1503,0,39.96136,6TH ST S,-82.99241,SS109,0,0,0,,0,5562461965,72
8,,meter,2013254,$0.00,$0.00,3309029,$25.00,0,2013238,1420,2013183,39.953255,FULTON ST W,-83.00034,WA61,0,0,2013204,,0,5562025935,29
20,,meter,2017312,$235.00,$0.00,3335835,$45.00,2,2013267,1715,0,39.978764,HUBBARD AVE W,-83.00442,K232,0,0,0,,0,5562193493,72
12,,meter,2015189,$170.00,$0.00,3350315,$25.00,2,2013324,1158,0,39.96136,6TH ST S,-82.99241,SS109,0,0,0,,0,5562335442,29
2,,meter,2017137,$0.00,$0.00,3314087,$25.00,0,2013176,953,0,39.961906,SIXTH ST S,-82.99252,SS61,0,0,0,,0,5561750695,29
10,,meter,2017242,$230.00,$0.00,3183796,$25.00,3,2013207,1349,2012331,39.997784,THIRTEENTH AVE E,-83.00731,UE201,0,0,2012332,,0,5561996163,29
19,,meter,2017235,$0.00,$0.00,3114913,$25.00,0,2013260,1547,0,39.976593,BUTTLES LOT,-83.004005,V13,0,0,0,,0,5562187451,29
6,,meter,2017298,$0.00,$0.00,3227944,$25.00,0,2013186,1320,0,39.98969,HIGH ST N,-83.00611,K1109,0,0,0,,0,5561791553,29
12,,meter,2017011,$139.00,$0.00,3258737,$25.00,2,2013207,1416,0,39.981453,HIGH ST N,-83.00452,K761,0,0,0,,0,5561634941,29
17,,meter,2016279,$0.00,$0.00,3222771,$25.00,0,2013043,1955,2017302,39.95999,STATE ST W,-83.00097,WK11,0,0,2017302,,0,5561291171,29
12,,meter,2011208,$0.00,$0.00,3118624,$25.00,0,2013319,1135,0,39.97676,BUTTLES LOT,-83.00391,V23,0,0,0,,0,5562334683,29
7,,meter,2012340,$0.00,$0.00,3265772,$25.00,0,2013107,1131,0,39.955673,NOBLE ST E,-82.99725,ED123,0,0,0,,0,5561523814,29
13,,meter,0,$0.00,$0.00,3356765,$25.00,0,2013354,2044,0,39.97224,SPRUCE ST,-83.00376,WBB57,0,0,0,,0,5562575413,29
17,,meter,2017263,$310.00,$0.00,3325242,$25.00,2,2013228,2034,0,39.97368,GOODALE ST W,-83.005035,K6,0,0,0,,0,5562043564,29
8,,meter,2017319,$135.00,$0.00,3310481,$25.00,1,2013158,1504,2013191,39.96882,NATIONWIDE BLVD E,-82.99804,EX153,0,0,2013192,,0,5561714822,29
18,,meter,2013345,$75.00,$0.00,2815359,$25.00,0,2013327,1640,2008071,39.961178,STARLING ST S,-82.998795,C440,0,0,2008072,,0,5562478290,29
19,,meter,2017312,$0.00,$0.00,3335762,$25.00,0,2013267,1545,0,39.993484,NEIL AVE,-83.01438,UW901,0,0,0,,0,5561034492,29
8,,meter,2017312,$15.00,$0.00,3020909,$25.00,0,2013221,1431,0,39.953327,FULTON ST W,-82.99949,WA15,0,0,0,,0,5561955036,29
2,,meter,2015042,$65.00,$0.00,3320818,$25.00,1,2013324,1055,0,39.95536,PEARL ST S,-82.99835,SL554,0,0,0,,0,5562358041,29
17,,meter,2015238,$65.00,$0.00,3210727,$50.00,1,2013109,2025,0,39.97276,PARK ST,-83.00467,NI655,0,0,0,,0,5561571160,13
6,,meter,2017296,$150.00,$0.00,3332156,$25.00,0,2013253,1047,0,39.995243,NEIL AVE,-83.01453,UW972,0,0,0,,0,5562110845,29
14,,meter,2017284,$660.00,$0.00,2560845,$25.00,1,2013109,805,0,39.965714,FRONT ST N,-83.003006,NI254,0,0,0,,0,5561528283,29
18,,meter,2013361,$200.00,$0.00,3341855,$25.00,0,2013291,1755,0,39.952168,FRONT ST S,-83.000595,B513,0,2013323,0,,0,5562311255,29
15,,meter,2017340,$0.00,$0.00,3317268,$50.00,0,2013191,1305,0,39.954903,CIVIC CENTER DR,-83.00426,SE513,0,0,0,,0,5561921565,13
16,,meter,2015315,$230.00,$0.00,3305772,$25.00,3,2013135,922,0,39.953808,FULTON ST E,-82.99664,EA30,0,2013204,0,,0,5561673883,29
16,,meter,2017221,$0.00,$0.00,3317754,$25.00,0,2013193,1151,0,39.96501,LONG ST E,-82.99971,ER37,0,2014338,0,,0,5561866836,29
16,,meter,2014358,$135.00,$0.00,3356688,$25.00,1,2013354,1251,0,39.95329,FULTON ST W,-82.99991,WA37,0,0,0,,0,5562501961,29
17,,meter,2017214,$275.00,$0.00,2979214,$25.00,2,2013028,1538,0,39.972263,SPRUCE ST W,-83.00424,WBB75,0,0,0,,0,5561248445,29
19,,meter,2017296,$60.00,$0.00,3291266,$25.00,0,2013072,1925,0,39.975533,RUSSELL ST W,-83.00373,K206,0,0,0,,0,5561456953,29
15,,meter,2004239,$0.00,$0.00,2273047,$25.00,0,2013114,1040,2017326,39.963825,GAY ST E,-82.99964,EP32,0,0,2017326,,0,5561507246,29
15,,meter,2013086,$0.00,$0.00,3289122,$45.00,0,2013064,942,0,39.954773,MOUND ST E,-82.998726,EC5,0,0,0,,0,5561372710,72
8,,meter,2017256,$0.00,$0.00,3218448,$25.00,0,2013126,1422,0,39.955017,MOUND ST E,-82.99805,EC30,0,0,0,,0,5561612622,29
8,,meter,2017291,$0.00,$0.00,3311075,$25.00,0,2013162,1224,2017109,39.986416,HIGH ST N,-83.0055,K935,0,0,2017109,,0,5561715382,29
16,,meter,2014289,$80.00,$0.00,2295416,$25.00,0,2013031,1303,0,39.97561,PARK ST,-83.00473,K376,0,0,0,,0,5561106861,29
6,,meter,2017186,$0.00,$0.00,3205540,$25.00,0,2013081,1052,2017257,39.995396,HIGH ST N,-83.00702,UE630,0,0,2017257,,0,5561387325,29
19,,meter,2015063,$0.00,$0.00,2995632,$50.00,0,2013096,2025,2017175,39.97276,PARK ST,-83.00467,NI655,0,0,2017175,,0,5561561231,13
18,,meter,2017249,$0.00,$0.00,3206026,$25.00,0,2013281,2138,0,39.95067,FRONT ST S,-83.000305,B563,0,0,0,,0,5562259175,29
18,,meter,2017214,$165.00,$0.00,3317035,$45.00,1,2013360,1544,0,39.95836,MT CARMEL MALL,-83.02219,M510,0,0,0,,0,5562591336,72
18,,meter,0,$0.00,$0.00,3354263,$25.00,0,2013344,2131,2017235,39.950993,HOSTER ST W,-82.999596,B180,0,0,2017235,,0,5562523893,29
